title,price,rating
"POCO X5 Pro 5G (Horizon Blue, 128 GB)  (6 GB RAM)","₹18,499",4.3
"POCO X5 Pro 5G (Astral Black, 256 GB)  (8 GB RAM)","₹20,499",4.3
"APPLE iPhone 14 (Blue, 128 GB)","₹57,999",4.6
"POCO M6 Pro 5G (Power Black, 128 GB)  (6 GB RAM)","₹11,999",4.3
"MOTOROLA g54 5G (Midnight Blue, 256 GB)  (12 GB RAM)","₹15,999",4.2
"POCO C51 (Royal Blue, 64 GB)  (4 GB RAM)","₹5,999",4
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹63,999",4.6
"POCO X5 Pro 5G (Horizon Blue, 256 GB)  (8 GB RAM)","₹20,499",4.3
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹64,999",4.6
"POCO C55 (Cool Blue, 128 GB)  (6 GB RAM)","₹7,799",4.2
"POCO X5 Pro 5G (Astral Black, 128 GB)  (6 GB RAM)","₹18,499",4.3
"POCO X5 Pro 5G (Yellow, 256 GB)  (8 GB RAM)","₹20,499",4.3
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)  (6 GB RAM)","₹12,490",4.2
"realme C51 (Mint Green, 64 GB)  (4 GB RAM)","₹7,999",4.4
"realme C51 (Carbon Black, 64 GB)  (4 GB RAM)","₹7,999",4.4
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)","₹6,499",4.2
"POCO X5 Pro 5G (Yellow, 128 GB)  (6 GB RAM)","₹18,499",4.3
"MOTOROLA g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)","₹13,999",4.2
"vivo T2x 5G (Glimmer Black, 128 GB)  (8 GB RAM)","₹14,999",4.3
"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)","₹14,999",4.3
"vivo T2x 5G (Marine Blue, 128 GB)  (8 GB RAM)","₹14,999",4.3
"POCO C55 (Power Black, 128 GB)  (6 GB RAM)","₹7,799",4.2
"POCO M6 Pro 5G (Forest Green, 128 GB)  (6 GB RAM)","₹11,999",4.3
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)  (6 GB RAM)","₹12,490",4.2
